#Time: 	1.000 My
#x(km)	w(m)	h(m)
-160.00	-0.037	-429.561
-151.99	0.000	-429.598
-143.98	-0.037	-429.561
-135.96	-0.146	-429.452
-127.95	-0.323	-429.275
-119.94	-0.562	-429.036
-111.93	-0.849	-428.750
-103.92	-1.156	-428.442
-95.90	-1.439	-428.159
-87.89	-1.626	-427.972
-79.88	-1.614	-427.985
-71.87	-1.261	-428.337
-63.86	-0.393	-429.206
-55.84	1.197	-430.795
-47.83	3.721	-433.319
-39.82	7.366	-436.964
-31.81	12.235	-441.833
-23.80	18.266	-447.864
-15.78	25.123	-454.722
-7.77	32.061	-461.660
0.24	37.771	-471.670
8.25	40.226	-628.168
16.27	41.896	-688.733
24.28	46.213	-593.031
32.29	54.147	-431.245
40.30	63.591	-257.980
48.31	70.849	-191.462
56.33	73.870	-220.421
64.34	72.622	-147.098
72.35	66.335	-171.054
80.36	55.229	-139.947
88.37	40.761	-135.789
96.39	25.347	-103.494
104.40	10.545	-59.821
112.41	-4.040	24.280
120.42	-20.343	117.513
128.43	-41.275	148.282
136.45	-69.410	254.149
144.46	-106.893	463.117
152.47	-154.632	454.571
160.48	-209.744	505.367
168.49	-267.246	547.610
176.51	-320.953	593.164
184.52	-364.795	621.288
192.53	-394.129	734.036
200.54	-407.287	790.138
208.55	-404.928	709.645
216.57	-389.911	673.007
224.58	-368.898	747.403
232.59	-352.247	866.867
240.60	-351.509	896.932
248.61	-375.979	772.562
256.63	-427.485	993.052
264.64	-494.777	1188.221
272.65	-556.012	1229.642
280.66	-589.178	1191.916
288.67	-586.110	1006.147
296.69	-550.624	903.942
304.70	-492.335	762.585
312.71	-422.345	580.381
320.72	-350.931	433.811
328.73	-285.149	319.940
336.75	-228.448	219.567
344.76	-180.825	156.315
352.77	-140.847	100.624
360.78	-106.612	53.073
368.80	-76.052	14.078
376.81	-47.146	-18.977
384.82	-18.184	-48.575
392.83	11.919	-78.831
400.84	43.373	-108.645
408.86	75.267	-135.890
416.87	105.255	-162.569
424.88	130.367	-183.061
432.89	147.743	-197.794
440.90	155.751	-204.029
448.92	154.206	-201.409
456.93	144.000	-187.172
464.94	126.803	-157.630
472.95	105.047	-118.050
480.96	82.135	-80.400
488.98	62.573	-33.193
496.99	51.912	-18.217
505.00	56.340	-31.307
513.01	82.277	-77.670
521.02	134.955	-70.395
529.04	215.710	-134.185
537.05	318.722	133.677
545.06	425.264	496.704
553.07	507.858	388.189
561.08	551.468	165.958
569.10	553.836	15.793
577.11	524.109	-109.955
585.12	475.699	-242.225
593.13	422.089	-210.559
601.14	373.065	-174.547
609.16	333.599	-153.927
617.17	304.930	-125.117
625.18	287.010	-84.937
633.19	279.252	-103.336
641.20	281.311	-129.250
649.22	291.339	-131.562
657.23	305.692	-141.753
665.24	318.379	-167.816
673.25	321.810	-185.345
681.27	307.735	-175.401
689.28	273.697	-143.344
697.29	222.429	-82.051
705.30	160.036	-17.461
713.31	93.997	50.168
721.33	31.390	128.192
729.34	-22.425	208.148
737.35	-64.043	226.687
745.36	-92.293	219.368
753.37	-106.941	226.660
761.39	-108.845	241.480
769.40	-100.152	237.930
777.41	-83.204	229.716
785.42	-60.828	214.194
793.43	-36.497	204.627
801.45	-13.519	189.720
809.46	5.321	179.025
817.47	17.817	162.472
825.48	23.306	141.564
833.49	22.640	148.735
841.51	17.639	158.737
849.52	10.871	162.838
857.53	4.712	148.427
865.54	0.453	147.401
873.55	-0.790	126.034
881.57	2.070	111.042
889.58	9.567	102.046
897.59	21.257	96.734
905.60	35.866	64.380
913.61	51.827	42.770
921.63	67.954	25.425
929.64	83.151	13.353
937.65	96.816	3.733
945.66	108.444	-2.716
953.67	117.533	-1.392
961.69	123.845	-4.321
969.70	127.454	-11.994
977.71	128.706	-22.165
985.72	128.234	-34.961
993.73	127.263	-40.736
1001.75	126.994	-43.760
1009.76	127.807	-45.158
1017.77	128.824	-46.910
1025.78	128.604	-47.359
1033.80	126.049	-44.589
1041.81	120.365	-37.799
1049.82	111.059	-28.491
1057.83	98.016	-14.982
1065.84	81.692	2.344
1073.86	63.391	20.615
1081.87	45.632	38.374
1089.88	30.204	53.803
1097.89	17.874	66.133
1105.90	8.732	75.275
1113.92	2.468	81.539
1121.93	-1.425	85.432
1129.94	-3.508	87.514
1137.95	-4.310	88.316
1145.96	-4.282	88.289
1153.98	-3.780	87.786
1161.99	-3.060	87.067
1170.00	-2.297	86.304
1178.01	-1.596	85.603
1186.02	-1.011	85.017
1194.04	-0.558	84.565
1202.05	-0.234	84.240
1210.06	-0.020	84.026
1218.07	0.106	83.901
1226.08	0.166	83.841
1234.10	0.182	83.825
1242.11	0.170	83.836
1250.12	0.144	83.862
1258.13	0.113	83.894
1266.14	0.082	83.925
1274.16	0.055	83.952
1282.17	0.033	83.974
1290.18	0.017	83.990
1298.19	0.005	84.001
1306.20	-0.002	84.008
1314.22	-0.006	84.012
1322.23	-0.007	84.014
1330.24	-0.007	84.014
1338.25	-0.007	84.013
1346.27	-0.005	84.012
1354.28	-0.004	84.011
1362.29	-0.003	84.009
1370.30	-0.002	84.008
1378.31	-0.001	84.008
1386.33	-0.000	84.007
1394.34	-0.000	84.007
1402.35	0.000	84.006
1410.36	0.000	84.006
1418.37	0.000	84.006
1426.39	0.000	84.006
1434.40	0.000	84.006
1442.41	0.000	84.006
1450.42	0.000	84.006
1458.43	0.000	84.006
1466.45	0.000	84.006
1474.46	0.000	84.007
1482.47	0.000	84.007
1490.48	-0.000	84.007
1498.49	-0.000	84.007
1506.51	-0.000	84.007
1514.52	-0.000	84.007
1522.53	-0.000	84.007
1530.54	-0.000	84.007
1538.55	-0.000	84.007
1546.57	-0.000	84.007
1554.58	-0.000	84.007
1562.59	-0.000	84.007
1570.60	-0.000	84.007
1578.61	-0.000	84.007
1586.63	0.000	84.007
1594.64	0.000	84.007
1602.65	0.000	84.007
1610.66	0.000	84.007
1618.67	0.000	84.007
1626.69	0.000	84.007
1634.70	0.000	84.007
1642.71	0.000	84.007
1650.72	0.000	84.007
1658.73	0.000	84.007
1666.75	0.000	84.007
1674.76	-0.000	84.007
1682.77	-0.000	84.007
1690.78	-0.000	84.007
1698.80	-0.000	84.007
1706.81	-0.000	84.007
1714.82	-0.000	84.007
1722.83	-0.000	84.007
1730.84	-0.000	84.007
1738.86	-0.000	84.007
1746.87	-0.000	84.007
1754.88	-0.000	84.007
1762.89	-0.000	84.007
1770.90	0.000	84.007
1778.92	0.000	84.007
1786.93	0.000	84.007
1794.94	0.000	84.007
1802.95	0.000	84.007
1810.96	0.000	84.007
1818.98	0.000	84.007
1826.99	0.000	84.007
1835.00	0.000	84.007
1843.01	0.000	84.007
1851.02	0.000	84.007
1859.04	0.000	84.007
1867.05	-0.000	84.007
1875.06	-0.000	84.007
1883.07	-0.000	84.007
1891.08	-0.000	84.007
1899.10	-0.000	84.007
1907.11	-0.000	84.007
1915.12	-0.000	84.007
1923.13	-0.000	84.007
1931.14	-0.000	84.007
1939.16	-0.000	84.007
1947.17	-0.000	84.007
1955.18	0.000	84.007
1963.19	0.000	84.007
1971.20	0.000	84.007
1979.22	0.000	84.007
1987.23	0.000	84.007
1995.24	0.000	84.007
2003.25	0.000	84.007
2011.27	0.000	84.007
2019.28	0.000	84.007
