#Time: 	1.000 My
#x(km)	w(m)	h(m)
-160.00	-0.063	-429.535
-151.99	0.000	-429.598
-143.98	-0.063	-429.535
-135.96	-0.187	-429.411
-127.95	-0.305	-429.293
-119.94	-0.352	-429.247
-111.93	-0.258	-429.340
-103.92	0.043	-429.641
-95.90	0.621	-430.219
-87.89	1.545	-431.143
-79.88	2.882	-432.481
-71.87	4.696	-434.295
-63.86	7.041	-436.639
-55.84	9.959	-439.557
-47.83	13.471	-443.070
-39.82	17.573	-447.171
-31.81	22.220	-451.818
-23.80	27.319	-456.918
-15.78	32.716	-462.314
-7.77	38.178	-467.776
0.24	43.382	-477.281
8.25	47.898	-635.840
16.27	51.842	-698.680
24.28	55.429	-602.248
32.29	58.539	-435.637
40.30	60.639	-255.028
48.31	60.988	-181.601
56.33	59.058	-205.610
64.34	54.601	-129.077
72.35	47.317	-152.035
80.36	37.081	-121.799
88.37	23.978	-119.005
96.39	8.260	-86.407
104.40	-9.878	-39.399
112.41	-30.439	50.679
120.42	-53.561	150.732
128.43	-79.431	186.437
136.45	-108.097	292.835
144.46	-139.451	495.675
152.47	-173.120	473.059
160.48	-208.166	503.789
168.49	-243.337	523.700
176.51	-277.234	549.445
184.52	-308.541	565.034
192.53	-336.242	676.149
200.54	-359.851	742.702
208.55	-379.334	684.051
216.57	-395.066	678.163
224.58	-407.969	786.474
232.59	-419.412	934.032
240.60	-430.803	976.226
248.61	-443.082	839.666
256.63	-456.032	1021.599
264.64	-467.613	1161.056
272.65	-474.381	1148.012
280.66	-472.948	1075.687
288.67	-461.885	881.922
296.69	-441.586	794.904
304.70	-413.517	683.767
312.71	-379.638	537.674
320.72	-342.024	424.904
328.73	-302.469	337.260
336.75	-262.340	253.459
344.76	-222.524	198.014
352.77	-183.635	143.412
360.78	-146.110	92.571
368.80	-110.248	48.273
376.81	-76.241	10.118
384.82	-44.224	-22.536
392.83	-14.330	-52.582
400.84	13.273	-78.545
408.86	38.348	-98.972
416.87	60.566	-117.881
424.88	79.622	-132.316
432.89	95.350	-145.400
440.90	107.878	-156.156
448.92	117.666	-164.869
456.93	125.439	-168.611
464.94	132.122	-162.948
472.95	138.788	-151.792
480.96	146.618	-144.883
488.98	156.834	-127.454
496.99	170.608	-136.913
505.00	188.929	-163.896
513.01	212.482	-207.875
521.02	241.431	-176.872
529.04	275.090	-193.566
537.05	311.578	140.820
545.06	347.237	574.732
553.07	377.331	518.716
561.08	398.903	318.524
569.10	410.954	158.674
577.11	414.343	-0.189
585.12	410.858	-177.384
593.13	402.606	-191.076
601.14	391.412	-192.894
609.16	378.556	-198.883
617.17	364.797	-184.984
625.18	350.610	-148.537
633.19	336.234	-160.319
641.20	321.759	-169.697
649.22	306.928	-147.150
657.23	291.147	-127.209
665.24	273.484	-122.921
673.25	252.848	-116.382
681.27	228.192	-95.858
689.28	199.386	-69.034
697.29	167.171	-26.793
705.30	132.919	9.656
713.31	98.326	45.839
721.33	65.117	94.465
729.34	34.789	150.934
737.35	8.498	154.146
745.36	-13.036	140.110
753.37	-29.416	149.134
761.39	-40.602	173.236
769.40	-46.933	184.711
777.41	-48.964	195.476
785.42	-47.460	200.825
793.43	-43.360	211.490
801.45	-37.623	213.824
809.46	-31.123	215.469
817.47	-24.591	204.880
825.48	-18.468	183.337
833.49	-12.882	184.257
841.51	-7.726	184.102
849.52	-2.699	176.407
857.53	2.548	150.592
865.54	8.263	139.591
873.55	14.683	110.560
881.57	22.016	91.096
889.58	30.359	81.253
897.59	39.630	78.361
905.60	49.586	50.659
913.61	59.896	34.701
921.63	70.236	23.144
929.64	80.272	16.232
937.65	89.728	10.821
945.66	98.343	7.386
953.67	105.881	10.260
961.69	112.164	7.359
969.70	117.088	-1.628
977.71	120.614	-14.073
985.72	122.768	-29.495
993.73	123.675	-37.147
1001.75	123.469	-40.235
1009.76	122.193	-39.544
1017.77	119.744	-37.829
