> -W1p,red
15.7915734390 45.0273550123 159.7350000000
16.9325674929 45.5347091771 125.3870000000
17.3023340845 45.6991295083 189.9780000000
16.3409409464 45.2716366472 209.0630000000
15.7915734390 45.0273550123 159.7350000000
> -W1p,red
12.1784256015 43.4207334906 115.0000000000
13.1820777786 43.8670172467 152.0000000000
11.8614828088 43.2798017782 392.0000000000
10.9106544305 42.8570066409 363.0000000000
12.1784256015 43.4207334906 115.0000000000
> -W1p,black
9.695707058255012 42.31676840994488 0
9.6957070583 42.3167684099 124.2880000000
10.0126498510 42.4577001224 92.3530000000
10.3824164426 42.6221204535 81.3420000000
10.9106544305 42.8570066409 77.3465000000
11.3015505416 43.0308224196 76.9113000000
11.9037418478 43.2985926732 73.3908000000
12.1361665625 43.4019425957 78.4764000000
12.2735084394 43.4630130044 106.9030000000
12.5059331541 43.5663629268 117.8570000000
12.8123111871 43.7025969155 128.5500000000
13.2454663372 43.8952035892 144.1980000000
13.9216109617 44.1958579090 112.7710000000
14.5660613070 44.4824190576 123.4850000000
15.1788173730 44.7548870350 138.3630000000
15.7387496402 45.0038663936 157.2840000000
16.0134333939 45.1260072110 149.3600000000
16.8903084539 45.5159182821 123.4850000000
17.1016036491 45.6098727571 111.8420000000
17.2812045650 45.6897340608 106.3430000000
17.6721006760 45.8635498394 100.1980000000
18.1475148652 46.0749474081 89.6247000000
18.6440585738 46.2957404242 85.7103000000
19.5843221923 46.7138378378 85.8471000000
21.0000000000 47.3433328199 85.7647000000
21.0000000000 47.3433328199 85.7647000000
21 47.343332819944656 0
9.695707058255012 42.31676840994488 0
