>  	  17  #ff00ff 3.245E+03 PBmantle
 759.000000 	 -27.308983 
784.000000 	 -27.380669 
811.000000 	 -25.412631 
840.000000 	 -25.040422 
855.000000 	 -24.875330 
879.000000 	 -24.353677 
902.000000 	 -24.875330 
969.000000 	 -24.710444 
1070.000000 	 -24.110063 
1070.000000 	 -85.764747 
936.000000 	 -85.847092 
847.000000 	 -85.710301 
800.000000 	 -89.624659 
785.000000 	 -74.166554 
776.000000 	 -56.581351 
764.000000 	 -37.308610 
759.000000 	 -27.308983 
>  	  26  #ff55ff 3.245E+03 Wedge
 551.000000 	 -31.409707 
560.000000 	 -31.470052 
567.000000 	 -32.958582 
575.000000 	 -33.839488 
594.000000 	 -33.839488 
620.000000 	 -33.094106 
647.000000 	 -32.213200 
701.000000 	 -28.089295 
732.000000 	 -26.984809 
753.000000 	 -25.453536 
755.000000 	 -26.053884 
757.000000 	 -26.416787 
758.000000 	 -26.692458 
759.000000 	 -27.308983 
764.000000 	 -37.308610 
776.000000 	 -56.581351 
785.000000 	 -74.166554 
800.000000 	 -89.624659 
755.000000 	 -100.198091 
718.000000 	 -106.343364 
701.000000 	 -111.841766 
681.000000 	 -123.485440 
657.000000 	 -96.358687 
635.000000 	 -78.787329 
580.000000 	 -45.699595 
551.000000 	 -31.409707 
>  	  35  #ff007f 3.245E+03 ADmantle
 255.000000 	 -52.486818 
282.000000 	 -41.511886 
296.000000 	 -38.270466 
317.000000 	 -35.266949 
338.000000 	 -32.959908 
392.000000 	 -31.193645 
427.000000 	 -30.780701 
477.000000 	 -32.794918 
516.000000 	 -36.707353 
561.000000 	 -45.244136 
555.000000 	 -41.925171 
542.000000 	 -37.745988 
542.000000 	 -35.332166 
541.000000 	 -33.280418 
540.000000 	 -31.457212 
543.000000 	 -31.457212 
546.000000 	 -31.544580 
551.000000 	 -31.409707 
580.000000 	 -45.699595 
635.000000 	 -78.787329 
657.000000 	 -96.358687 
681.000000 	 -123.485440 
598.000000 	 -149.360272 
572.000000 	 -157.284440 
519.000000 	 -138.363469 
461.000000 	 -123.485338 
400.000000 	 -112.771381 
336.000000 	 -144.197571 
295.000000 	 -128.549676 
266.000000 	 -117.856947 
244.000000 	 -106.903420 
231.000000 	 -78.476409 
241.000000 	 -68.271874 
250.000000 	 -57.813003 
255.000000 	 -52.486818 
>  	  26  #ff55ff 3.245E+03 Wedge
 184.000000 	 -24.662908 
235.000000 	 -25.602432 
245.000000 	 -25.076667 
251.000000 	 -23.928888 
257.000000 	 -24.007193 
261.000000 	 -24.091996 
266.000000 	 -24.091996 
272.000000 	 -23.711411 
276.000000 	 -23.276457 
274.000000 	 -25.015104 
273.000000 	 -26.352964 
271.000000 	 -28.219090 
269.000000 	 -31.519986 
267.000000 	 -37.224081 
260.000000 	 -43.058252 
257.000000 	 -47.043117 
255.000000 	 -52.486818 
250.000000 	 -57.813003 
241.000000 	 -68.271874 
231.000000 	 -78.476409 
209.000000 	 -73.390843 
152.000000 	 -76.911278 
115.000000 	 -77.346451 
145.000000 	 -53.806258 
171.000000 	 -34.166761 
184.000000 	 -24.662908 
>  	  13  #ff007f 3.245E+03 TYmantle
 0.000000 	 -23.133854 
33.000000 	 -23.766152 
82.000000 	 -22.849083 
100.000000 	 -22.880329 
142.000000 	 -23.502060 
184.000000 	 -24.662908 
171.000000 	 -34.166761 
145.000000 	 -53.806258 
115.000000 	 -77.346451 
65.000000 	 -81.342024 
30.000000 	 -92.353040 
0.000000 	 -124.288389 
0.000000 	 -23.133854 
