 Iteration #:           4
   Depth    K_x     K_t     K_y
   17.80    4.06    0.00    4.06
   19.66    4.03    0.00    4.03
   21.56    4.02    0.00    4.02
   23.46    4.01    0.00    4.01
   25.36    4.01    0.00    4.01
   27.25    4.03    0.00    4.03
   29.15    4.05    0.00    4.05
   31.05    4.08    0.00    4.08
   32.94    4.12    0.00    4.12
   34.84    4.17    0.00    4.17
   36.74    4.22    0.00    4.22
   39.58    4.28    0.00    4.28
   42.43    4.32    0.00    4.32
   45.27    4.41    0.00    4.41
   48.12    4.49    0.00    4.49
   50.96    4.56    0.00    4.56
   53.81    4.62    0.00    4.62
   56.65    4.66    0.00    4.66
   59.50    4.69    0.00    4.69
   62.34    4.70    0.00    4.70
   65.19    4.70    0.00    4.70
   68.04    4.67    0.00    4.67
   72.78    4.61    0.00    4.61
   77.52    4.53    0.00    4.53
   82.26    4.42    0.00    4.42
   17.24    4.07    0.00    4.07
   19.71    4.03    0.00    4.03
   21.61    4.02    0.00    4.02
   23.50    4.01    0.00    4.01
   25.40    4.01    0.00    4.01
   27.30    4.03    0.00    4.03
   29.19    4.05    0.00    4.05
   31.09    4.08    0.00    4.08
   32.99    4.12    0.00    4.12
   34.88    4.17    0.00    4.17
   36.78    4.22    0.00    4.22
   39.62    4.28    0.00    4.28
   42.47    4.33    0.00    4.33
   45.31    4.41    0.00    4.41
   48.16    4.49    0.00    4.49
   51.01    4.56    0.00    4.56
   53.85    4.62    0.00    4.62
   56.70    4.66    0.00    4.66
   59.54    4.69    0.00    4.69
   62.39    4.70    0.00    4.70
   65.23    4.69    0.00    4.69
   68.08    4.66    0.00    4.66
   72.82    4.60    0.00    4.60
   77.56    4.52    0.00    4.52
   82.30    4.41    0.00    4.41
   16.98    4.08    0.00    4.08
   19.66    4.03    0.00    4.03
   21.56    4.02    0.00    4.02
   23.46    4.01    0.00    4.01
   25.35    4.01    0.00    4.01
   27.25    4.03    0.00    4.03
   29.15    4.05    0.00    4.05
   31.04    4.08    0.00    4.08
   32.94    4.12    0.00    4.12
   34.84    4.17    0.00    4.17
   36.73    4.22    0.00    4.22
   39.58    4.28    0.00    4.28
   42.42    4.33    0.00    4.33
   45.27    4.41    0.00    4.41
   48.12    4.49    0.00    4.49
   50.96    4.56    0.00    4.56
   53.81    4.62    0.00    4.62
   56.65    4.66    0.00    4.66
   59.50    4.69    0.00    4.69
   62.34    4.70    0.00    4.70
   65.19    4.69    0.00    4.69
   68.03    4.66    0.00    4.66
   72.78    4.60    0.00    4.60
   77.52    4.51    0.00    4.51
   82.26    4.40    0.00    4.40
   18.04    4.08    0.00    4.08
   19.93    4.03    0.00    4.03
   21.83    4.02    0.00    4.02
   23.72    4.01    0.00    4.01
   25.62    4.01    0.00    4.01
   27.51    4.03    0.00    4.03
   29.41    4.05    0.00    4.05
   31.30    4.08    0.00    4.08
   33.20    4.12    0.00    4.12
   35.10    4.17    0.00    4.17
   36.99    4.22    0.00    4.22
   39.84    4.28    0.00    4.28
   42.68    4.33    0.00    4.33
   45.52    4.42    0.00    4.42
   48.37    4.49    0.00    4.49
   51.21    4.56    0.00    4.56
   54.05    4.62    0.00    4.62
   56.90    4.66    0.00    4.66
   59.74    4.69    0.00    4.69
   62.58    4.69    0.00    4.69
   65.43    4.69    0.00    4.69
   68.27    4.66    0.00    4.66
   73.01    4.58    0.00    4.58
   77.75    4.49    0.00    4.49
   82.49    4.38    0.00    4.38
   16.34    4.11    0.00    4.11
   18.14    4.07    0.00    4.07
   20.03    4.04    0.00    4.04
   21.93    4.02    0.00    4.02
   23.82    4.01    0.00    4.01
   25.72    4.01    0.00    4.01
   27.61    4.03    0.00    4.03
   29.51    4.05    0.00    4.05
   31.40    4.09    0.00    4.09
   33.30    4.13    0.00    4.13
   35.19    4.17    0.00    4.17
   37.09    4.23    0.00    4.23
   39.93    4.27    0.00    4.27
   42.77    4.34    0.00    4.34
   45.62    4.43    0.00    4.43
   48.46    4.50    0.00    4.50
   51.30    4.57    0.00    4.57
   54.14    4.62    0.00    4.62
   56.99    4.66    0.00    4.66
   59.83    4.69    0.00    4.69
   62.67    4.69    0.00    4.69
   65.51    4.68    0.00    4.68
   68.36    4.64    0.00    4.64
   73.09    4.57    0.00    4.57
   77.83    4.46    0.00    4.46
   84.24    4.34    0.00    4.34
   16.02    4.13    0.00    4.13
   18.15    4.08    0.00    4.08
   20.05    4.04    0.00    4.04
   21.94    4.02    0.00    4.02
   23.84    4.01    0.00    4.01
   25.73    4.01    0.00    4.01
   27.63    4.03    0.00    4.03
   29.52    4.05    0.00    4.05
   31.42    4.09    0.00    4.09
   33.31    4.13    0.00    4.13
   35.21    4.17    0.00    4.17
   37.10    4.21    0.00    4.21
   39.95    4.25    0.00    4.25
   42.79    4.34    0.00    4.34
   45.63    4.43    0.00    4.43
   48.47    4.51    0.00    4.51
   51.32    4.58    0.00    4.58
   54.16    4.63    0.00    4.63
   57.00    4.67    0.00    4.67
   59.84    4.69    0.00    4.69
   62.69    4.69    0.00    4.69
   65.53    4.68    0.00    4.68
   68.37    4.64    0.00    4.64
   73.11    4.56    0.00    4.56
   77.85    4.43    0.00    4.43
   16.43    4.13    0.00    4.13
   18.32    4.08    0.00    4.08
   20.22    4.05    0.00    4.05
   22.11    4.02    0.00    4.02
   24.01    4.02    0.00    4.02
   25.90    4.01    0.00    4.01
   27.79    4.03    0.00    4.03
   29.69    4.05    0.00    4.05
   31.58    4.09    0.00    4.09
   33.48    4.13    0.00    4.13
   35.37    4.17    0.00    4.17
   37.27    4.21    0.00    4.21
   40.11    4.25    0.00    4.25
   42.95    4.35    0.00    4.35
   45.79    4.44    0.00    4.44
   48.63    4.51    0.00    4.51
   51.47    4.58    0.00    4.58
   54.31    4.64    0.00    4.64
   57.15    4.67    0.00    4.67
   59.99    4.69    0.00    4.69
   62.84    4.69    0.00    4.69
   65.68    4.67    0.00    4.67
   68.52    4.63    0.00    4.63
   73.25    4.54    0.00    4.54
   77.99    4.40    0.00    4.40
   15.38    4.17    0.00    4.17
   16.58    4.13    0.00    4.13
   18.47    4.08    0.00    4.08
   20.36    4.05    0.00    4.05
   22.26    4.02    0.00    4.02
   24.15    4.02    0.00    4.02
   26.04    4.02    0.00    4.02
   27.94    4.03    0.00    4.03
   29.83    4.06    0.00    4.06
   31.72    4.09    0.00    4.09
   33.62    4.13    0.00    4.13
   35.51    4.18    0.00    4.18
   37.41    4.22    0.00    4.22
   40.24    4.26    0.00    4.26
   43.09    4.36    0.00    4.36
   45.92    4.45    0.00    4.45
   48.77    4.52    0.00    4.52
   51.61    4.59    0.00    4.59
   54.45    4.64    0.00    4.64
   57.29    4.67    0.00    4.67
   60.13    4.69    0.00    4.69
   62.97    4.68    0.00    4.68
   65.81    4.66    0.00    4.66
   68.65    4.61    0.00    4.61
   73.38    4.51    0.00    4.51
   78.11    4.38    0.00    4.38
   15.65    4.18    0.00    4.18
   16.60    4.14    0.00    4.14
   18.50    4.09    0.00    4.09
   20.39    4.05    0.00    4.05
   22.28    4.03    0.00    4.03
   24.18    4.02    0.00    4.02
   26.07    4.02    0.00    4.02
   27.96    4.04    0.00    4.04
   29.86    4.06    0.00    4.06
   31.75    4.09    0.00    4.09
   33.64    4.14    0.00    4.14
   35.53    4.19    0.00    4.19
   37.43    4.22    0.00    4.22
   40.27    4.26    0.00    4.26
   43.11    4.36    0.00    4.36
   45.95    4.46    0.00    4.46
   48.79    4.53    0.00    4.53
   51.63    4.60    0.00    4.60
   54.47    4.64    0.00    4.64
   57.31    4.67    0.00    4.67
   60.15    4.68    0.00    4.68
   62.99    4.67    0.00    4.67
   65.83    4.65    0.00    4.65
   68.67    4.59    0.00    4.59
   73.40    4.49    0.00    4.49
   78.14    4.36    0.00    4.36
   14.77    4.21    0.00    4.21
   15.72    4.18    0.00    4.18
   16.67    4.14    0.00    4.14
   18.56    4.09    0.00    4.09
   20.45    4.06    0.00    4.06
   22.35    4.03    0.00    4.03
   24.24    4.02    0.00    4.02
   26.13    4.02    0.00    4.02
   28.03    4.04    0.00    4.04
   29.92    4.06    0.00    4.06
   31.81    4.09    0.00    4.09
   33.70    4.14    0.00    4.14
   35.60    4.19    0.00    4.19
   37.49    4.22    0.00    4.22
   40.33    4.27    0.00    4.27
   43.17    4.37    0.00    4.37
   46.01    4.46    0.00    4.46
   48.85    4.54    0.00    4.54
   51.69    4.60    0.00    4.60
   54.53    4.65    0.00    4.65
   57.37    4.67    0.00    4.67
   60.21    4.68    0.00    4.68
   63.05    4.67    0.00    4.67
   65.89    4.64    0.00    4.64
   68.73    4.58    0.00    4.58
   73.46    4.47    0.00    4.47
   79.97    4.32    0.00    4.32
   14.47    4.23    0.00    4.23
   15.60    4.19    0.00    4.19
   16.54    4.15    0.00    4.15
   18.44    4.09    0.00    4.09
   20.33    4.06    0.00    4.06
   22.23    4.03    0.00    4.03
   24.12    4.02    0.00    4.02
   26.01    4.02    0.00    4.02
   27.91    4.04    0.00    4.04
   29.80    4.06    0.00    4.06
   31.69    4.09    0.00    4.09
   33.59    4.14    0.00    4.14
